uid,accent,language_family,gender,age,reference,hypothesis,model
25,Maithili,Indo-Aryan,Male,30-45,So these are some of the features of Mithila cooking.,SO THESE ARE SOME OF THE FEATURES OF A MITLA COOKING,hybrid-w2v2-grl
26,Konkani,Indo-Aryan,Male,60+,English breaks the communication barriers between people of diverse cultural backgrounds and it creates a new community where people come together and share their cultures and ideas with broader audience.,ENGLISH BREAKS THE COMMUNICATION BARIERS BETWEEN PEOPLE OF DRIVERS CULTURAL BACKGROUNDAND IT CREATES A NEW COMMUNITY WHERE PEOPLE COME TOGETHER AND SHARE THEY ARE CULTURES AND IDEAS WITH BROADER AUDIENCE,hybrid-w2v2-grl
27,Punjabi,Indo-Aryan,Male,30-45,Play,,hybrid-w2v2-grl
28,Kashmiri,Indo-Aryan,Male,45-60,Visual,SL,hybrid-w2v2-grl
29,Tamil,Dravidian,Female,18-30,"And also, people speaking English have different accents in different regions.",AND ALSO PEOPLE SPEAKING ENGLISH HAVE DIFFERENT ACCENTS ARE IN DIFFERENT REGIONS,hybrid-w2v2-grl
30,Punjabi,Indo-Aryan,Male,30-45,"Education, Health, Care, Poverty, Reduction, Women's Empowerment",DISTRICT EDUCATION HALD CERE POWERTY REDUCTION WOMAN'S IN POWER MEN,hybrid-w2v2-grl
31,Marathi,Indo-Aryan,Male,60+,source language,SOLDS LANGUAGE,hybrid-w2v2-grl
32,Telugu,Dravidian,Female,45-60,"trains,",PRAIN,hybrid-w2v2-grl
33,Assamese,Indo-Aryan,Male,30-45,Cat,,hybrid-w2v2-grl
34,Kashmiri,Indo-Aryan,Female,30-45,"Through poetry, I can put my thoughts on a display more creatively.",ROUGH BOY TREE I CAN PUT MY THOUGHTS ON A DHIS PLAY MORE CREATIVELYTHEN,hybrid-w2v2-grl
35,Malayalam,Dravidian,Female,18-30,The main food of,THE MAIN FODU,hybrid-w2v2-grl
36,Nepali,Indo-Aryan,Male,18-30,who is physically challenged or disordered in real life but with the guts and a great contribution in the literature,WHIS PHYSICAL IS CHALLENGED OR DISORDER IN REAL LIFE BUT WITH THE GOOTS AND A GREAT CONTRIBITION IN THE RICESSURE,hybrid-w2v2-grl
37,Kannada,Dravidian,Male,18-30,our local traditions and beliefs by giving an opportunity,ARE LOCAL TRADITIONS AND BELIEFS BY GIVING AN OPPORTUNITY,hybrid-w2v2-grl
38,Nepali,Indo-Aryan,Female,45-60,Are there any vaccination centres available in South Goa district for age group 18+ years,ARE THERE ANEVECTIONATIONS AND TWOS AVILABLE IN SOUTH GOA DISTRICT FOR AGE GROUVE EIGHTEN BLURS YEARS,hybrid-w2v2-grl
39,Marathi,Indo-Aryan,Female,30-45,hang on the rock. I find it useful and best because it helps me that we climb faster.,HANG ON THE ROCK I FIND IT USEFUL AND BEST BECAUSE IT HELP ME THAC MAY CLIMB FAR,hybrid-w2v2-grl
40,Hindi,Indo-Aryan,Female,18-30,Can you list all the vaccination centres where First Dose of COVAXIN is available for age groups 15-17 years,CANULIST ALL THE VAXINITION CENTERS WHERE FIRST DROWS OF CO AXIN IS AVALABLE FOR AGE GROUPFIFTEEN TO SEVENTEEN YEARS,hybrid-w2v2-grl
41,Telugu,Dravidian,Female,45-60,and they went off into the space when earth was burning up or being destroyed,THEY WENT OFF INTO THE SPACE WHEN EARTHE WAS BURNING UP OR BEING DESTROYED,hybrid-w2v2-grl
42,Telugu,Dravidian,Female,45-60,that I came here.,THAT I CAME HERE SOME,hybrid-w2v2-grl
43,Urdu,Indo-Aryan,Male,45-60,send a complaint to consumer service of this company,SAND A COMPLAINT TO CONSUMAL SERVICE OF THIS COMPANY,hybrid-w2v2-grl
44,Kashmiri,Indo-Aryan,Female,30-45,"In the university, I learned the technicalities of language since I am a linguistics student.",IN THE UNIVERSITY I LEARNED THE TECHNICALITIES OF LANGUAGE AND SIM LINGUI STIC'S STUDENT,hybrid-w2v2-grl
45,Malayalam,Dravidian,Female,18-30,"embroidery. And there we use to teach us the basic embroidery patterns like running stage,",EMBROIDERYAND THERE VIEW THE USED TO TEACH US ATHE PASIC ELM EMBROIDERY PACTARDS LIKE RUNNING STAGE,hybrid-w2v2-grl
46,Bengali,Indo-Aryan,Male,60+,Book a HP gas cylinder using my registered contact number 79083174897,BOUGAGE WI A CYLINDER USING MY AGE TIRD CONTUCT NUMBER SEVEN NINE GIO EIGHTY ONE SEVEN POOR EIGHT NINE SEVEN,hybrid-w2v2-grl
47,Kashmiri,Indo-Aryan,Female,30-45,English was taught quite effectively by our teachers. They stressed upon the importance and use of grammar and the students were expected to give their 100% in learning the language.,ENGLISH WAS TAUGHT QUITE EFFECTIVELY BY OUR TEACHERS THIS TRESSED UPON THE IMPORTANCE AND USE OF GRAMMAR AND THE STUDENTS WERE EXPECTED TO GIVE THEIR HUNDRED PERCENT IN LEARNING THE LANGUAGE,hybrid-w2v2-grl
48,Urdu,Indo-Aryan,Female,45-60,the colleges of art literature,THE COLLEGES OF ART LITRATURE,hybrid-w2v2-grl
49,Tamil,Dravidian,Female,18-30,"the change in season. For example, it is extremely cold during the winters and is extremely hot during the summer; so this shift",THE CHANGE IN SEASON FOR EXAMPLE IT IS EXTREMELY COLD DURING THE WINTERS AND IS EXTREMELY HOT DURING THE SUMMER SO THIS SHIFT,hybrid-w2v2-grl
50,Bengali,Indo-Aryan,Male,18-30,Show my DTH bill readings from the last 6 months.,SHOW MY DITEACH BUILD READINGS FROM THE LAST SIX MONTHS,hybrid-w2v2-grl
51,Gujarati,Indo-Aryan,Male,18-30,And not much is left at the behest of the writer or author and grammar punctuation is very well structured and written and documented as well,AND THENOT MUCH IS LEFT AT THE BEHISHE OF THE WRITER OR OKERAND THE GRAMMAR PUNCTUSION IS VERY WUCH SUCURED AND WRITTEN AND DOCUMENTED AS WELL,hybrid-w2v2-grl
52,Marathi,Indo-Aryan,Female,18-30,to everybody.,TWO EVERYBODY,hybrid-w2v2-grl
53,Gujarati,Indo-Aryan,Female,30-45,"The radiation, the chemotherapy, everything, every every option for cancer treatment is available over here and it is largely used not only by the people of Gujarat but also by the nearby states.",THE RADIATION THE CHIMOTERAPY EVERYTHING EVERY EVERY OPTION FOR CANSER TREATMENT IS OF A LABOR OVER HERE AND IS IT IS LARGELY USED NOT ONLY BY THE PEOPLE OF GUDRATH BUT ALSO BY THE NEAR BY STATES,hybrid-w2v2-grl
54,Konkani,Indo-Aryan,Female,18-30,"how difficult their lives are, what all circumstances they go through,",HOW DEFICURE THEIR LIVES ARE WHAT ALL CIRCUMSTANCES THEY GO THROUGH,hybrid-w2v2-grl
55,Telugu,Dravidian,Female,45-60,You are 2 hours late than the delivery time for my products Pantene Bamboo Shampoo and 24 Mantra Chana Dal,YOU ARE TWO HOURS LATE THAN THE DELIVERY TIME FOR MY PRODUCTS PANTIN BAMBO CHAMPO AND TWENTY FOUR MONTH RACH ANDADAL,hybrid-w2v2-grl
56,Urdu,Indo-Aryan,Male,30-45,List all items from Pet food items.,LIST ALL ITEMS FROM PED FOOD ITEMS,hybrid-w2v2-grl
57,Telugu,Dravidian,Female,45-60,What is your favorite painting style or technique and why?,WHAT IS YOUR FAVORITE PAINTING STAIL ARE TECHNIC AND WHIE,hybrid-w2v2-grl
58,Kashmiri,Indo-Aryan,Male,45-60,show me what day the thirty first is on,SHOW ME WHAT DAY THE THIRTY FIRST IS ON,hybrid-w2v2-grl
59,Odia,Indo-Aryan,Female,18-30,Are there any vaccination centres available in Bhandara district for age group 15-17 years,ARE THERE ANY MAXINITION CENTRS AVAILABLE IN BANDARA DISTRICT FOR AGE GREW FIFTEEN TO SEVENTEEN YEARS,hybrid-w2v2-grl
60,Urdu,Indo-Aryan,Male,30-45,whereby humans are entrusted with the safe keeping of earth and its variety of life.,WHEREBY HUMANS ARE INTERUSTED WITH THE SAFE KEEPING OF EARTH AND IS VARIETY OF LIFE,hybrid-w2v2-grl
61,Malayalam,Dravidian,Female,30-45,It's about an abused Malayali migrant worker employed in Saudi Arabia as a Goddard against his will.,ITS AN ABOUT ABUSED MALALY IN MIGRAND WULKAR EMPLOYED IN SOUTHY ARABIA AS A GODER AGAINST HIS WILL,hybrid-w2v2-grl
62,Kashmiri,Indo-Aryan,Female,30-45,The intricate yet beautiful floral motifs on paper mashi products are in,THE INTRICATE YET A BEAUTIFUL FLURAL MOTESTS ON PAPER MASHY PRODUCTS ARE IN,hybrid-w2v2-grl
63,Odia,Indo-Aryan,Male,18-30,So there are a lot of beaches throughout the eastern coastline of Odisha.,THERE ARE A LOT OF BEACHES THROUGHOUT THEONTHE EASTERN COAST LANE OF OLISA ON,hybrid-w2v2-grl
64,Nepali,Indo-Aryan,Female,18-30,and after that we celebrate Chaitra Dasai and after that we celebrate Dasai,AND AFTER THAT WE CELEBRATE TRITE THITHE SAY HAND AFTER THAT WE CELEBRATE ATHE SAY,hybrid-w2v2-grl
65,Maithili,Indo-Aryan,Female,45-60,I use some words,I USE SOME GODS,hybrid-w2v2-grl
66,Urdu,Indo-Aryan,Female,30-45,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu.",ME OF THE OTHER RIGINAL LANGUAGES ARE TOL COULD HAVE A CONCANY THEARY AND OTO,hybrid-w2v2-grl
67,Maithili,Indo-Aryan,Female,30-45,Biodiversity actually plays a very important role in my garden,BIO DIVA CITY ACTUALLY PLASE A VERY IMPORTANT ROLE IN MY GARDEN,hybrid-w2v2-grl
68,Kannada,Dravidian,Female,30-45,with the leading newspapers such as Bangalore Mirror,WITH THE LEADING NEWSPAPERS SUCH AS BANGELO MIRROR,hybrid-w2v2-grl
69,Maithili,Indo-Aryan,Male,30-45,when was dev anand born,WHEN WAS THE VANAN BORN,hybrid-w2v2-grl
70,Maithili,Indo-Aryan,Male,30-45,And Taruah is something in which any vegetable is fried or some of the leaves like there is one leaf called known as Tilkor.,AND THROUGH S SOMETHING IN WHICH ANYVEGETABLE IS FRIGHT OR SOME OF THE LEAVES LIKE THERE IS ONE LEAVE OR NONASTILCOR,hybrid-w2v2-grl
71,Punjabi,Indo-Aryan,Female,18-30,"end of the year which are a source of great joy and fun, especially for the kids.",END OF THE EAR WHICH ARE A SOCE OF GREAT JOY AND FUN SPECIALLY FOR THE KITS,hybrid-w2v2-grl
72,Konkani,Indo-Aryan,Male,18-30,The government of Goa and the tourism department must promote these places,THE GOVERNMENT OF GOVA AND THE TURISOM DEPARTMENT WAS PROMODE THISE PLACES,hybrid-w2v2-grl
73,Urdu,Indo-Aryan,Female,45-60,Up,,hybrid-w2v2-grl
74,Sindhi,Indo-Aryan,Male,30-45,like the physical practice of yoga,LIKE THE PHYSICAL PRACTICEROFOVER,hybrid-w2v2-grl
75,Tamil,Dravidian,Female,45-60,Three,,hybrid-w2v2-grl
76,Odia,Indo-Aryan,Male,60+,Stop,,hybrid-w2v2-grl
77,Odia,Indo-Aryan,Female,60+,"Further, undue influence rarely occurs on its own.",CALTERED UNDO INCLAIN SERAREDLY ACCURS ON ITS OWN,hybrid-w2v2-grl
78,Odia,Indo-Aryan,Male,18-30,and,AND,hybrid-w2v2-grl
79,Kannada,Dravidian,Female,18-30,mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli,MINTTI IS A VERY GREAT REFRESHING DRINK ANDTHIS ON ONE DELEGAND DOTOPATHRE CAN BE USED IN PREPRATION OF A RISIONAL DELICACY CALLED ONECUMBLY,hybrid-w2v2-grl
80,Konkani,Indo-Aryan,Male,30-45,"Again, Dayanand was well received and the Rajkot group elected to join his cause.",AGAIN DIANON WAS WELL RECEIVED AND THE RASH CORT GROUP ELECTED TO JOIN HIS CAUSE,hybrid-w2v2-grl
81,Marathi,Indo-Aryan,Male,60+,The major challenge faced by students in Maharashtra,THE MAJOR CHALLENGED FACED BY STUDENTS IN MARASTRA,hybrid-w2v2-grl
82,Gujarati,Indo-Aryan,Female,30-45,Can you speak the five dates that you remember?,CAN YOU SPEAK THE FIVE DATS THAT YOU REMEMBER,hybrid-w2v2-grl
83,Tamil,Dravidian,Female,18-30,Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions,MY SUR HAS PROPAGATED THE ART OF SANDAL WOOD CARVING AND CENAPARTNER TOYS ARE VERY FAMOUS AND ARE OFTEN GIFTED HAS PRESENTS FOR SPECIAL OCCASIONS,hybrid-w2v2-grl
84,Kashmiri,Indo-Aryan,Female,30-45,and mostly those who are not able to find government jobs in both teaching and non-teaching sectors,AND MOSY THOSE WHO ARE NOT ABLE TO FIND CORMON JHOPS IN BOTH TEACHING AND ON TEACHING FACTORS,hybrid-w2v2-grl
85,Hindi,Indo-Aryan,Male,18-30,invest in mutual funds where risk is low.,INVESTING MUSUAL FINDS VER RISK IS LOW,hybrid-w2v2-grl
86,Maithili,Indo-Aryan,Male,30-45,The city was mostly developed by the Maharajas of Dharbhanga like Lakshmishwar Singh and Kameshwar Singh.,A CITY WAS MOSTLY DEVELOPED BY THE MARAGAS OF THE HUNGA LIKE LEXMISUR SING AND COMIS SHUE SING,hybrid-w2v2-grl
87,Urdu,Indo-Aryan,Male,30-45,on both the sides of river,ON BODH THE SIDES OF RIVER,hybrid-w2v2-grl
88,Hindi,Indo-Aryan,Male,18-30,Can I avail any extra discount offers on Cereals this year?,CAN A AVAIL ANY EXTRA DESCOUNT OF FERS ON SYRIALS THIS EAR,hybrid-w2v2-grl
89,Gujarati,Indo-Aryan,Female,30-45,main medium of communication has been Gujarati,MAIN MEDIUM OF COMMUNICATION HAS BEEN GUTRATI,hybrid-w2v2-grl
90,Kashmiri,Indo-Aryan,Female,30-45,Stone-penetrating which is a reaction to the Indian rule in Kashmir again poses a threat to education since  youth the youth of Kashmir is involved in these activities rather than going to school.,STONE PENALTING WHICH IS A REACTION TO THE INGIAN RULIN KASHMIRE AGAIN POSES A THREAT TO EDUCATION SINCE A YOUTH THE YOUTH OF KASHMIRE IS A INVOLVED IN THESE ACTIVITIES RATHER THAN GOING TO SCHOOL,hybrid-w2v2-grl
91,Nepali,Indo-Aryan,Male,45-60,What's my Fin care is Small Finance Bank account balance?,WHAT'S MY FINKER IS SMALL FINANCE BANK ACOUND BALANCE,hybrid-w2v2-grl
92,Maithili,Indo-Aryan,Male,30-45,"It was a capital of Raj, Dharbhanga, an estate established in the 16th century.",IT WAS A CAPITAL OF RAZ DRBUNGA AND A STATE ESTABLISHED IN THE SIXTEENTH CENTURY,hybrid-w2v2-grl
93,Telugu,Dravidian,Female,45-60,define the word novel,DEFINE THE WORD NOVEL,hybrid-w2v2-grl
94,Tamil,Dravidian,Male,45-60,"We differ from other countries in terms of food, in terms of dress",WELL DIFFER FROM OTHER COUNTRIES IN TERMS OF FOULT IN TERMS OF DRESS,hybrid-w2v2-grl
95,Bengali,Indo-Aryan,Female,30-45,Forward,D,hybrid-w2v2-grl
96,Kannada,Dravidian,Female,30-45,for higher education they have to travel or shift to a,OFER HIGHER EDUCATION THEY HAVE TO A TRAVEL OR SHIFTER TO A,hybrid-w2v2-grl
97,Kannada,Dravidian,Male,30-45,Agree,G,hybrid-w2v2-grl
98,Kashmiri,Indo-Aryan,Female,30-45,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,UNERDOKER SHIP IS AN INDIAN FILL MAKER AND ACTOR KNOWN FOR HIS WORKS IN HINDI SENEMA,hybrid-w2v2-grl
99,Malayalam,Dravidian,Female,30-45,what type of learning system do you use,WHAT TYPE OF LEARNING SYSTEM DO YO YU,hybrid-w2v2-grl
100,Telugu,Dravidian,Female,45-60,Different nations face different complex problems in various domains.,DIFFERENT NATIONS FACE DIFFERENT COMPLEX PROBLEMS IN VARIOUS DOMAIN,hybrid-w2v2-grl
101,Nepali,Indo-Aryan,Female,30-45,"Commonly here, the culture is followed according to the norms of Nepali people.",COMMONLY HERE THE CULTURE IS FOLLOWED ECODING TOBE THE NOMES OF NIPARY PEOPLE,hybrid-w2v2-grl
102,Assamese,Indo-Aryan,Male,18-30,new list,NEWLIST,hybrid-w2v2-grl
103,Nepali,Indo-Aryan,Female,30-45,Skip,P,hybrid-w2v2-grl
104,Konkani,Indo-Aryan,Female,45-60,Dostana was a commercial success and grossed 871 million Indian Rupees Worldwide.,THUS TANA WAS A COMMERCIAL SUCCESS AND GROSSED AGH SEVENTY ONE MILLION INDIAN RUPIES WORLD WIDE,hybrid-w2v2-grl
105,Nepali,Indo-Aryan,Female,30-45,by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.,BY BATHRINARIN BROTHAN FROM ITS ORISINAL WORK WRITTEN BY NESCIME GURKI IN HIS NOBLE MOTHER,hybrid-w2v2-grl
106,Gujarati,Indo-Aryan,Male,18-30,this incident was the third major attack this week.,THIS INCIDENT WAS THE THOTOMIS THE ATEK THESE WEEK,hybrid-w2v2-grl
107,Telugu,Dravidian,Female,45-60,Do I have enough money in my SBI account to make a transaction of 400 Rs ?,DO I HAVE ENOUGH MONEY IN MY IS VERY ACCOUNT TO MAKE A TRANSACTION OF OUR HUNDRED RUPIES,hybrid-w2v2-grl
108,Assamese,Indo-Aryan,Female,30-45,Can you speak five district names?,CA NEWSPIC PIPE DISTRICT NAMES,hybrid-w2v2-grl
109,Assamese,Indo-Aryan,Female,30-45,What is your favorite painting style or technique and why?,WHAT IS YOUR FAVORITE PAINTING STYLE OR TECHNIC AND WHYE,hybrid-w2v2-grl
110,Gujarati,Indo-Aryan,Male,30-45,"And I think in all the major cities of Gujarat,",AND I THINK IN ALL THE MEASURE CITIES OF GOOD WRATH,hybrid-w2v2-grl
111,Malayalam,Dravidian,Male,30-45,your singing technique,YOUARE SINGING TRECHNIC,hybrid-w2v2-grl
112,Maithili,Indo-Aryan,Female,30-45,"So, providing a sense of depth when they coverage or cross over other lines",SO PROVIDING A SENSE OF DEPTHB EN THE COBRADGE OR CROSS OVER OTHER LIVES,hybrid-w2v2-grl
113,Telugu,Dravidian,Male,18-30,what is the weather like,WHAT IS THE VETHE LIKE,hybrid-w2v2-grl
114,Sindhi,Indo-Aryan,Male,30-45,what's the recipe for pasta sauce,WARDH THE LESPE FOR PASTESA,hybrid-w2v2-grl
115,Urdu,Indo-Aryan,Male,30-45,etc,C,hybrid-w2v2-grl
116,Odia,Indo-Aryan,Female,30-45,"and also to school, providing computers and books to the school students",AN ALTERESCOPROVITING ANPATORAND BOOKS TO THE SCHOOL STUDENTS,hybrid-w2v2-grl
117,Maithili,Indo-Aryan,Female,45-60,and I try to make songs of my own style and own rhythms.,AND I TRIED TO MAKE SONGS OF MY OWN STYLE AND OWN RHYTHMS,hybrid-w2v2-grl
118,Tamil,Dravidian,Female,18-30,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.,THES SEASON OR THE CLIMATE IN MY DISTRICT IS GENERALLY DRY AND IT'S A COMFORTABLE WEATHER IT'S NOT WERY SUNNY OR VERY COLD,hybrid-w2v2-grl
119,Bengali,Indo-Aryan,Male,18-30,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting, but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise.",MY FAVORITE ENGLISH DEVY SHOW IS BREAKING BACK I DIDN'T WATCH IT LIFE WHEN IT STARTED BROAD CUSTING BUT I WATCHED IT LATTER AND WHEN I WATCHED IT THERE WERE FIVE SISSONS AND IT WAS EXTREMELY THRILLING GREUPY AND ALL THE FAMILIAR ISSUES AND OTHER EXTERNAL ECITAL ISSUES HAS BEEN ADDRESSED WITH SUCH A GREAT EXPERTANCE,hybrid-w2v2-grl
120,Malayalam,Dravidian,Male,45-60,"Of course, there was and is a book which I couldn't ever plunge into, that is sense-wise,",OF COURSE THERE WAS AND EASE A BOOK WHICH I COULDN'T EVER PLUNGE INTO THARE IS SENSE WICE I,hybrid-w2v2-grl
121,Nepali,Indo-Aryan,Male,18-30,"Whatever I learn today or whatever I know about the English today, it's all because",I LEARNED TO DAY OR WHATEVER I KNOW ABOUT THE ENGLISH STRDAY IT'S ALL BECAUSE,hybrid-w2v2-grl
122,Konkani,Indo-Aryan,Male,30-45,with pincode 169804,WITH PIN COAT ONE SIX NINE A JIROFOR,hybrid-w2v2-grl
123,Assamese,Indo-Aryan,Male,18-30,Stop,SCO,hybrid-w2v2-grl
124,Gujarati,Indo-Aryan,Male,30-45,In my district there are significant amount of English medium and Gujarati medium schools,IN MY DISTRICT THERE ARE SIGNIFICANT AMOUNT OF ENGLISH MEDIUM AND GOOD RATHER MEDIUM SCHOOLS,hybrid-w2v2-grl
125,Telugu,Dravidian,Female,45-60,A substitution of an entire unit at once is called a line change.,A SUBSTITUTION OF AN ENTIRE UNIT AT ONCE IS CALLED A LINE CHANGE,hybrid-w2v2-grl
126,Bengali,Indo-Aryan,Male,30-45,Technology has severely impacted the field of photography,TECHNOLOGY HAS SEVERELY IMPACTED THE FIELD OF PHOTOGRAPHY,hybrid-w2v2-grl
127,Punjabi,Indo-Aryan,Male,60+,Can you delete Paper Boat Aam Panna from my shopping cart,CAN YOU DELATE PAPER BULT AMBANA FROM MY SHOPPING CART,hybrid-w2v2-grl
128,Hindi,Indo-Aryan,Male,18-30,Cat,CA,hybrid-w2v2-grl
129,Kashmiri,Indo-Aryan,Female,30-45,My favorite genre to write in is poetry or verse.,MY FAVRITE JOUN TO WRITING IS POETRY OR WORSE,hybrid-w2v2-grl
130,Urdu,Indo-Aryan,Male,30-45,The promotion of consumption patterns characterized by over-exploitation,THE PROMOTION OF CONSUMPTION PETENS CHARACTERIZED BY OVEREXPLOITATION,hybrid-w2v2-grl
131,Odia,Indo-Aryan,Male,45-60,"Both Al-Jazeera and the editors of the Boston, Massachusetts-based paper have also called for her safe release.",BOTH AL JESIRA AND THE EDITORS OF THE POSTON MASSA TWO SHERD'S BEST PAPER HAVE ALSO CALLED FOR HER SAFE RELEASE,hybrid-w2v2-grl
132,Nepali,Indo-Aryan,Female,18-30,in,N,hybrid-w2v2-grl
133,Punjabi,Indo-Aryan,Female,45-60,Can I check my pension amount with my PRAN number,CANNIT CAN EJECT MY PENSION AMOUNT WITH MY PEAR AR NUMBER,hybrid-w2v2-grl
