uid,accent,language_family,gender,age,reference,hypothesis,model
62,Kashmiri,Indo-Aryan,Female,30-45,The intricate yet beautiful floral motifs on paper mashi products are in,THE INTRICATE YET A BEAUTIFUL FLOURIL MOTTEFS ON PAPER MASHY PRODUCTS ARE IN,wav2vec2-base
63,Odia,Indo-Aryan,Male,18-30,So there are a lot of beaches throughout the eastern coastline of Odisha.,O THERE ARE A LOT OF BEECHES THROUGHOUT THE ON THE EASTERN COSLAIN OF ORLISA ON,wav2vec2-base
64,Nepali,Indo-Aryan,Female,18-30,and after that we celebrate Chaitra Dasai and after that we celebrate Dasai,AND AFTER THAT WE CELIBRATE TRAT ITHER SAY AH AND AFTER THAT WE CELIBRATE OTHER SAY,wav2vec2-base
65,Maithili,Indo-Aryan,Female,45-60,I use some words,I YOU SOMEWOD,wav2vec2-base
66,Urdu,Indo-Aryan,Female,30-45,"Some of the other regional languages are Tulu, Kodava, Konkani, Bihari and Urdu.",OF THATHER REGIONAL LANGUAGES AT CULO CORAVA CONCANI BEAR AND ODO,wav2vec2-base
67,Maithili,Indo-Aryan,Female,30-45,Biodiversity actually plays a very important role in my garden,BY OR DIVALS TO DAY ACTUALLY PLASE A VERY IMPORTANT ROLL IN MY GARDEN,wav2vec2-base
68,Kannada,Dravidian,Female,30-45,with the leading newspapers such as Bangalore Mirror,OF IT THE LEADING NEWSPAPERS SUCH AS BANGALOR MIRROR,wav2vec2-base
69,Maithili,Indo-Aryan,Male,30-45,when was dev anand born,WHEN WAS HE VANANGORN,wav2vec2-base
70,Maithili,Indo-Aryan,Male,30-45,And Taruah is something in which any vegetable is fried or some of the leaves like there is one leaf called known as Tilkor.,AND A TWYIS SOMETHING IN WHICH A ANI VEGETABLE IS A AFRAID OR A SOME OF THE LEAVES LIKE THERE IS  A ONE LEAV OR NONASTILCOURT,wav2vec2-base
71,Punjabi,Indo-Aryan,Female,18-30,"end of the year which are a source of great joy and fun, especially for the kids.",AND OF THE EAR WHICH ARE A SOURCE OF GREAT JOY AND FUN SPECIALLY FOR THE KIDS,wav2vec2-base
72,Konkani,Indo-Aryan,Male,18-30,The government of Goa and the tourism department must promote these places,THE GOVERNMENT OF GOVA AND THE DORISM DEPARTMENT MUST PROMODE DISPLEASES,wav2vec2-base
73,Urdu,Indo-Aryan,Female,45-60,Up,,wav2vec2-base
74,Sindhi,Indo-Aryan,Male,30-45,like the physical practice of yoga,LIKE THE PHYSICAL PRECTISOPIOVA,wav2vec2-base
75,Tamil,Dravidian,Female,45-60,Three,,wav2vec2-base
76,Odia,Indo-Aryan,Male,60+,Stop,,wav2vec2-base
77,Odia,Indo-Aryan,Female,60+,"Further, undue influence rarely occurs on its own.",ALDER ON DO INCLAINCERAREDLY AR GORS ON ITS OWN,wav2vec2-base
78,Odia,Indo-Aryan,Male,18-30,and,AND O,wav2vec2-base
79,Kannada,Dravidian,Female,18-30,mint tea is a very great refreshing drink and this vandalaga and dodapathre can be used in preparation of a regional delicacy called one thambuli,MINTTI IS A VERY A GREAT REFRESHING DRINK AND NO THIS ON ONDELEGAND DODOPATRE CAN BE USED IN PREPATION OF A ORIGONAL DELICACY CALLED O ON TAMBLY,wav2vec2-base
80,Konkani,Indo-Aryan,Male,30-45,"Again, Dayanand was well received and the Rajkot group elected to join his cause.",AGAIN DIANAN WAS WELL RECEIVED AND THE RACHCORT GROUP ELECTED TO JOIN HIS CAUSE,wav2vec2-base
81,Marathi,Indo-Aryan,Male,60+,The major challenge faced by students in Maharashtra,THE MAJOR CHALLENGE FACED BY STURENS IN MARASTRA,wav2vec2-base
82,Gujarati,Indo-Aryan,Female,30-45,Can you speak the five dates that you remember?,CAN YOU SPEAK THE FIVE DEEDS THAT YOU REMEMBER,wav2vec2-base
83,Tamil,Dravidian,Female,18-30,Mysore has propagated the art of sandalwood carving and Chennapatna toys are very famous and are often gifted as presents for special occasions,MY SUIT HAS PROPAGATED THE ART OF SANDAL WITH CARVING AND GENDERPARTNER TOYIS ARE VERY FAMOUS AND AR OFTEN GIVE TO THIS PRESENTS FOR SPECIAL OCCASIONS,wav2vec2-base
84,Kashmiri,Indo-Aryan,Female,30-45,and mostly those who are not able to find government jobs in both teaching and non-teaching sectors,AND O MOSTLY THOSE WHO ARE NOT ABLE TO FIND GOMEN JOBS IN BOTH TEACHING AND NONDETING FECTORS,wav2vec2-base
85,Hindi,Indo-Aryan,Male,18-30,invest in mutual funds where risk is low.,INVESTING MUSUAL FIND VERY RISCES LAU,wav2vec2-base
86,Maithili,Indo-Aryan,Male,30-45,The city was mostly developed by the Maharajas of Dharbhanga like Lakshmishwar Singh and Kameshwar Singh.,E CITY WAS MOSTLY DEVELOPED BY THE MARAJAS OF THE HUNGA LIKE LEKES ME SUR SING AND CAMI SHUR SING,wav2vec2-base
87,Urdu,Indo-Aryan,Male,30-45,on both the sides of river,ON BOARD DESIDGES OF FREEWER,wav2vec2-base
88,Hindi,Indo-Aryan,Male,18-30,Can I avail any extra discount offers on Cereals this year?,CAN I AVAIL ANY EXTRADESCONT OFFERS ON SYRAS THIS EAR,wav2vec2-base
89,Gujarati,Indo-Aryan,Female,30-45,main medium of communication has been Gujarati,MAIN MEDIUM OF COMMUNICATION HAS BEEN GUDRATI,wav2vec2-base
90,Kashmiri,Indo-Aryan,Female,30-45,Stone-penetrating which is a reaction to the Indian rule in Kashmir again poses a threat to education since  youth the youth of Kashmir is involved in these activities rather than going to school.,STONE PENALTING WHICH IS A REACTION TO THE INDIAN RULIN CASHMIR AGAIN POSES A THREAD TO EDUCATION SINCE SIR YOUTO THE YOUTH OF KASHMIR IS SIR INVOLVED IN THES ACTIVITIES RATHER THAN GOING TO SCHOOL,wav2vec2-base
91,Nepali,Indo-Aryan,Male,45-60,What's my Fin care is Small Finance Bank account balance?,WHAT'S MY FINKERI SMALL FININGS BANKA CON BALLANCE,wav2vec2-base
92,Maithili,Indo-Aryan,Male,30-45,"It was a capital of Raj, Dharbhanga, an estate established in the 16th century.",IT WAS A CAPITAL OF RAZ DRBANGA AN ESTATE ESTABLISHED IN THE SIXTEENTH CENTURY,wav2vec2-base
93,Telugu,Dravidian,Female,45-60,define the word novel,DEFINED THE WORD NOMI,wav2vec2-base
94,Tamil,Dravidian,Male,45-60,"We differ from other countries in terms of food, in terms of dress",WILL DIFFER FROM OTHER COUNTRIES IN TERMS OF FULD IN TERMS OF DRESS,wav2vec2-base
95,Bengali,Indo-Aryan,Female,30-45,Forward,,wav2vec2-base
96,Kannada,Dravidian,Female,30-45,for higher education they have to travel or shift to a,AF FOR HIGHER EDUCATION THEY HOW TO OR TRAVEL OR SHIFTE TO ER,wav2vec2-base
97,Kannada,Dravidian,Male,30-45,Agree,,wav2vec2-base
98,Kashmiri,Indo-Aryan,Female,30-45,Anurag Kashyap is an Indian filmmaker and actor known for his works in Hindi cinema.,UNERDAKERSHIP IS AN INDIAN FILL MAKER AN ACTOR KNOWN FOR HIS WORKS IN HINDISENEMA,wav2vec2-base
99,Malayalam,Dravidian,Female,30-45,what type of learning system do you use,WHAT DIPE OF LEARNING SYSTEM DO YO YUSH,wav2vec2-base
100,Telugu,Dravidian,Female,45-60,Different nations face different complex problems in various domains.,DIFFERENT NATIONS FASE DIFFERENT COMPLEX PROBLEMS IN VARIOUS DOMIN,wav2vec2-base
101,Nepali,Indo-Aryan,Female,30-45,"Commonly here, the culture is followed according to the norms of Nepali people.",COMMONLY HERE THE CULTER ISE FOLLOWIT ON ECORDING TO E THERE NOMES OF NIPADIPEOPLE,wav2vec2-base
102,Assamese,Indo-Aryan,Male,18-30,new list,NEWLEAST,wav2vec2-base
103,Nepali,Indo-Aryan,Female,30-45,Skip,SCIP,wav2vec2-base
104,Konkani,Indo-Aryan,Female,45-60,Dostana was a commercial success and grossed 871 million Indian Rupees Worldwide.,DUSTANA WAS A COMMERCIAL SUCCESS AND GROSSED EIGHT SEVENTY ONE MILLION INDIAN RUPIES WORLD WIDE,wav2vec2-base
105,Nepali,Indo-Aryan,Female,30-45,by Badrinarayan Pradhan from its original book written by Meksim Gurki in his noble mother.,BAI BADRINARIN BREDAN FROM ITS ALRAYS INA WORK RIATEN BY MAYSKIM GOUDGI IN HIS NOBLE MOTHER,wav2vec2-base
106,Gujarati,Indo-Aryan,Male,18-30,this incident was the third major attack this week.,TESINS YOU LEARN'T WAT THE TOLD ME THAT I DEGGED THESE WEEK,wav2vec2-base
107,Telugu,Dravidian,Female,45-60,Do I have enough money in my SBI account to make a transaction of 400 Rs ?,DO I HAVE ENOUGH MONEY IN MY ESVERY ACCOUNT TO MAKE A TRANSACTION OF FOUR HUNDRED RUPIES,wav2vec2-base
108,Assamese,Indo-Aryan,Female,30-45,Can you speak five district names?,GAR NEWSPEAK PIPE DISTRICT NIMS,wav2vec2-base
109,Assamese,Indo-Aryan,Female,30-45,What is your favorite painting style or technique and why?,WHAT IS YOUR FAVOURITE PENTINGSTY OR TECHNIC AND WHY,wav2vec2-base
110,Gujarati,Indo-Aryan,Male,30-45,"And I think in all the major cities of Gujarat,",AND I THINK OIN ALL THE MEASURE CITIES OF GUZRAD,wav2vec2-base
111,Malayalam,Dravidian,Male,30-45,your singing technique,YOU ARE SINGING TICHNICU,wav2vec2-base
112,Maithili,Indo-Aryan,Female,30-45,"So, providing a sense of depth when they coverage or cross over other lines",SO PROVIDING A SENSE OF DEPTEM WHEN THE COVERAGE OR CROSS OWAR OTHERLISE,wav2vec2-base
113,Telugu,Dravidian,Male,18-30,what is the weather like,OREEEEE,wav2vec2-base
114,Sindhi,Indo-Aryan,Male,30-45,what's the recipe for pasta sauce,WATCE THE LESS BE FOR PAST US ALL,wav2vec2-base
115,Urdu,Indo-Aryan,Male,30-45,etc,,wav2vec2-base
116,Odia,Indo-Aryan,Female,30-45,"and also to school, providing computers and books to the school students",AN UTTEESTCO THE WRITING AN OTE AND BOOKS FOR THE SCOSTODENS,wav2vec2-base
117,Maithili,Indo-Aryan,Female,45-60,and I try to make songs of my own style and own rhythms.,AND I TRIED TO MAKE SONGS OF MY OWN STYD AND OWN RHYTHMS,wav2vec2-base
118,Tamil,Dravidian,Female,18-30,The season or the climate in my district is generally dry and it's a comfortable weather. It's not very sunny or very cold.,THE SEASON OR THE CLIMATE IN MY DISTRICT IS GENERALLY DRY AND ITS A COMFORTABLE WEATHER IT'S NOT WERY SUNNY OR VERY COLD,wav2vec2-base
119,Bengali,Indo-Aryan,Male,18-30,"My favorite English TV show is Breaking Bad. I didn't watch it live when it started broadcasting, but I watched it later and when I watched it there were five seasons and it was extremely thrilling, grippy and all the familiar issues and other external societal issues has been addressed with such a great expertise.",MY FAVOURITE ENGLISH DEVY SHOW IS BREAKING BACK I DIDN'T WATCH IT LIFE WHEN IT STARTED BROAD COSTING BUT I WATCHED IT LATER AND WHEN I WATCHED IT THERE WERE FIVE SISSONS AND IT WAS EXTREMELY THRILLING GRIPPY AND ALL THE FAMILIAL ISSUES AND OTHER EXTERNAL SOCITAL ISSUES HAS BEEN ADDRESSED WITH SUCH A GREAT EXPERTENTE,wav2vec2-base
120,Malayalam,Dravidian,Male,45-60,"Of course, there was and is a book which I couldn't ever plunge into, that is sense-wise,",OW OF COURSE THERE WAS AND EASE A BOOK WHICH I COULDN'T EVER PLUNGE INTO THAT IS SENSE WISE,wav2vec2-base
121,Nepali,Indo-Aryan,Male,18-30,"Whatever I learn today or whatever I know about the English today, it's all because",ER I LEARNED TO DAY OR WHATEVER I KNOW ABOUT THE ENGLISH TDAY WAS ALL BECAUSE,wav2vec2-base
122,Konkani,Indo-Aryan,Male,30-45,with pincode 169804,WITH PINCOT ONE SIX NINE A GIRO FOR,wav2vec2-base
123,Assamese,Indo-Aryan,Male,18-30,Stop,SO,wav2vec2-base
124,Gujarati,Indo-Aryan,Male,30-45,In my district there are significant amount of English medium and Gujarati medium schools,IN MY DISTRICT THERE ARE A SIGNIFICANT A AMOUNT OF ENGLISH MEDIAM AN GUIGREATHER MEDIUM SCHOOLS,wav2vec2-base
125,Telugu,Dravidian,Female,45-60,A substitution of an entire unit at once is called a line change.,A SUBSTITUTION OF AN ENTIRE UNIT AT ONCE IS CALLED A LINE CHANGE,wav2vec2-base
126,Bengali,Indo-Aryan,Male,30-45,Technology has severely impacted the field of photography,TECHKNOLODGY HAS SEVERELY IMPACTED THE FIELD OF PHOTOGRAPHY,wav2vec2-base
127,Punjabi,Indo-Aryan,Male,60+,Can you delete Paper Boat Aam Panna from my shopping cart,CAN YOU DELITE PIPERBURD AMBANA FROM MY SHOPPING GARK,wav2vec2-base
128,Hindi,Indo-Aryan,Male,18-30,Cat,,wav2vec2-base
129,Kashmiri,Indo-Aryan,Female,30-45,My favorite genre to write in is poetry or verse.,MY FARY JOUN TO WRITING IS POETRY OR WORSE,wav2vec2-base
130,Urdu,Indo-Aryan,Male,30-45,The promotion of consumption patterns characterized by over-exploitation,THE PROMOTION OF CONSUMPTION PERTENTS CHARACTERIZED IT BY OER EXPLOITATION,wav2vec2-base
131,Odia,Indo-Aryan,Male,45-60,"Both Al-Jazeera and the editors of the Boston, Massachusetts-based paper have also called for her safe release.",BOTH AL ZAZIRA AND THE ELITORS OF THE BOSHTON MASSA CHO SHERT'S BASTE PAPER HAVE ALSO CALLED FOR HER SAFE RELEASE,wav2vec2-base
132,Nepali,Indo-Aryan,Female,18-30,in,A,wav2vec2-base
133,Punjabi,Indo-Aryan,Female,45-60,Can I check my pension amount with my PRAN number,CAN IT CAN EJECT MY PENSION AMOUNT WITH MY BIARER NUMBER,wav2vec2-base
134,Konkani,Indo-Aryan,Female,45-60,India has numerous spoken languages in every state,INDIA HAS NUMEROUS SPOKEN LANGUAGES IN EVERY STATE,wav2vec2-base
135,Dogri,Indo-Aryan,Male,18-30,4 October,FOR A CUBER,wav2vec2-base
136,Maithili,Indo-Aryan,Female,18-30,what alarms have been set for me,WHAT ALARMS HAVE BEEN SAID FOR ME,wav2vec2-base
137,Gujarati,Indo-Aryan,Female,30-45,"Yes, I have read a book other than my native language",YES I HAVE READ A BOOK OTHER THAN MY NED RAY LANGUAGE,wav2vec2-base
138,Telugu,Dravidian,Female,45-60,and I encountered a few difficulties in speaking English but not in writing in English.,AND I ENCOUNTERED A FEW DIFFICULTIES IN SPEAKING ENGLISH BUT NOT IN WRITING IN ENGLISH,wav2vec2-base
139,Odia,Indo-Aryan,Female,30-45,It makes our life so easy and I don't need to make a note on paper and pen so I can make the presentations. It makes it more easy.,IT MAKES OUR LIFE SO EASY AND I DON'T NEED TO MAKE IT NOT AN PEPPER AN PAIN SOL I CAN MAKE THE PRESENTATIONS IT MAKES MORE EASY,wav2vec2-base
